Index,Repository Name,Project Type,Automation Files,Stars,Forks,Project Size (KB),Commits (30 days),Open PRs (30 days),Closed PRs (30 days),Open Issues (30 days),Closed Issues (30 days),Rejection Rate (%),Avg. Merge Time (hours),Avg. Resolution Time (hours),Automation Group,Bot PR Closure Rate (%),Bot Issue Closure Rate (%),Bot Activity Score
75,explosion/spaCy,Open Source,10,30746,4434,202858,2,14,86,58,15,11.0,640.4004666666667,338.7679523809524,High Automation,40,50,40.3
76,elastic/logstash,Mixed,10,14327,3507,128705,30,11,89,13,5,5.0,20.053300264550263,25.45163377192982,High Automation,40,50,38.2
77,open-telemetry/opentelemetry-go,Open Source,10,5462,1098,21015,30,6,94,7,7,22.0,41.67587962962963,19.12677841634738,High Automation,40,50,40.3
78,open-telemetry/opentelemetry-cpp,Open Source,10,962,449,49647,19,6,94,16,26,8.0,136.28860788113695,150.72414583333335,High Automation,40,50,46.0
79,Automattic/wp-calypso,Mixed,10,12445,1992,870991,30,38,62,34,9,4.0,26.21184865900383,25.131730769230767,High Automation,40,50,31.3
80,redis/redis,Mixed,9,67824,23881,142800,18,27,73,27,10,14.000000000000002,144.95668079096043,113.740348583878,Moderate Automation,40,50,33.9
81,crossplane/crossplane,Open Source,9,9803,986,42149,30,21,79,27,15,2.0,111.6849025974026,127.10683429118777,Moderate Automation,40,50,37.2
82,chef/chef,Open Source,9,7652,2513,298801,30,18,82,4,1,32.0,88.70445555555555,137.324245014245,Moderate Automation,40,50,33.9
83,wandb/client,Open Source,9,9406,692,171361,30,15,85,15,3,18.0,34.572350746268654,38.73262345679012,Moderate Automation,40,50,35.4
84,spring-projects/spring-framework,Open Source,9,57209,38312,220810,30,20,80,19,54,80.0,,36.59387037037037,Moderate Automation,40,50,49.199999999999996
85,apache/hudi,Open Source,9,5620,2451,1658796,30,33,67,8,5,9.0,76.13513409961686,58.338738615664845,Moderate Automation,40,50,30.599999999999998
86,open-telemetry/opentelemetry-go-contrib,Open Source,8,1277,589,20504,30,13,87,9,4,18.0,7.0903341384863126,8.444672364672364,Moderate Automation,40,50,35.3
87,questdb/questdb,Open Source,8,14834,1202,719685,30,10,90,24,13,7.000000000000001,162.66821285140563,165.307117003367,Moderate Automation,40,50,38.9
88,apache/camel,Open Source,8,5680,4976,1007721,30,3,97,0,0,5.0,6.226717995169082,6.206572164948455,Moderate Automation,40,0,37.099999999999994
89,bokeh/bokeh,Mixed,8,19556,4203,344399,16,16,84,39,22,11.0,135.03931887366818,133.69785000000002,Moderate Automation,40,50,39.8
90,apache/flink,Open Source,8,24447,13484,515167,30,34,66,0,0,7.000000000000001,29.903300376647834,29.41893097643098,Moderate Automation,40,0,27.8
91,Microsoft/vscode,Open Source,8,166686,30223,977272,30,8,92,43,10,6.0,4.304011627906977,0.8589150943396227,Moderate Automation,40,50,38.599999999999994
92,tektoncd/pipeline,Open Source,8,8561,1799,126173,30,17,83,8,7,16.0,106.27286898839137,160.34314692982457,Moderate Automation,40,50,35.0
93,spiffe/spire,Open Source,7,1857,491,27039,30,17,83,13,4,19.0,130.9814800347222,127.57616588419404,Moderate Automation,40,50,33.099999999999994
94,apache/logging-log4j2,Open Source,7,3428,1635,125532,29,15,85,13,6,24.0,29.099731329690343,64.2357800608828,Moderate Automation,40,50,34.3
95,ipython/ipython,Mixed,7,16351,4449,79457,30,3,97,18,8,6.0,55.77587301587302,40.98999305555556,Moderate Automation,40,50,38.5
96,datafold/data-diff,Open Source,7,2959,272,4172,0,0,100,0,38,31.0,87.27105475040258,639.2896361111111,Moderate Automation,40,50,48.4
97,flutter/flutter,Mixed,7,168199,27948,288803,30,52,48,51,15,13.0,18.500198412698413,10.499262820512824,Moderate Automation,40,50,25.9
98,ultralytics/yolov5,Mixed,7,52106,16605,16136,7,8,92,57,11,30.0,39.12276433691756,49.06929093567251,Moderate Automation,40,50,37.9
99,fluxcd/flux,Open Source,7,6895,1080,12168,0,0,100,0,47,17.0,102.98201807228916,325.445375,Moderate Automation,40,50,51.1
100,helm/helm,Open Source,7,27342,7170,22535,30,23,77,26,11,14.000000000000002,115.10146384479717,83.56460382513662,Moderate Automation,40,50,33.4
101,ceph/ceph,Mixed,7,14495,6061,814138,30,69,31,0,0,3.0,23.90361111111111,31.801236559139788,Moderate Automation,40,0,16.299999999999997
102,open-policy-agent/opa,Open Source,7,9893,1374,1083360,30,9,91,10,15,4.0,36.90041507024265,38.458177506775066,Moderate Automation,40,50,38.8
103,dagster-io/dagster,Open Source,6,12383,1559,1311487,30,41,59,7,3,3.0,7.684508928571428,8.049941239316238,Moderate Automation,40,50,24.599999999999998
104,jenkinsci/jenkins,Open Source,6,23534,8901,162561,30,12,88,0,0,11.0,30.07734487734488,27.687683080808075,Moderate Automation,40,0,32.4
105,python-poetry/poetry,Open Source,6,32425,2314,23257,30,17,83,6,46,5.0,46.35104344729345,35.3747798102981,Moderate Automation,40,50,44.699999999999996
